graph_number,k5_minor,k33_minor
2260,"{0: [1, 3, 4], 1: [2, 10], 2: [5, 7], 3: [9], 4: [8]}","{0: [5], 1: [0, 9], 2: [4], 3: [6], 4: [1, 3], 5: [2, 7, 10]}"
2261,"{0: [7], 1: [6, 10], 2: [8], 3: [2], 4: [9]}","{0: [5, 7], 1: [8], 2: [0], 3: [6, 10], 4: [9], 5: [1, 3, 4]}"
2262,"{0: [4, 10], 1: [5], 2: [3, 7], 3: [2, 6], 4: [1, 8, 9]}","{0: [1, 3], 1: [10], 2: [2], 3: [4, 6], 4: [8], 5: [5, 7, 9]}"
2263,"{0: [3, 5], 1: [4, 7], 2: [2, 9], 3: [6, 10], 4: [8]}","{0: [8], 1: [2], 2: [0], 3: [9], 4: [10], 5: [1]}"
2264,"{0: [3], 1: [6], 2: [7, 8], 3: [2, 10], 4: [5, 9]}","{0: [0, 4, 10], 1: [9], 2: [7], 3: [2, 6], 4: [3], 5: [5, 8]}"
2265,"{0: [3, 10], 1: [2, 6], 2: [0, 1, 9], 3: [5, 7], 4: [8]}","{0: [7], 1: [4, 6, 10], 2: [0, 1], 3: [2], 4: [9], 5: [8]}"
2266,"{0: [7, 8], 1: [3, 5], 2: [9], 3: [2, 4], 4: [6, 10]}","{0: [3], 1: [8], 2: [0, 7, 10], 3: [9], 4: [1, 2], 5: [5]}"
2267,"{0: [3], 1: [10], 2: [5, 7, 9], 3: [6], 4: [4, 8]}","{0: [7], 1: [0], 2: [2], 3: [5, 8, 9], 4: [1], 5: [10]}"
2268,"{0: [10], 1: [6], 2: [3, 9], 3: [8], 4: [5, 7]}","{0: [3, 4], 1: [8], 2: [0, 1, 5, 9], 3: [2], 4: [10], 5: [6]}"
2269,"{0: [2], 1: [9], 2: [0, 10], 3: [1, 4, 5, 6], 4: [7, 8]}","{0: [8], 1: [10], 2: [9], 3: [7], 4: [3, 6], 5: [2]}"
2270,"{0: [7, 8], 1: [2, 10], 2: [4], 3: [3], 4: [5, 9]}","{0: [5, 6], 1: [4], 2: [7], 3: [10], 4: [1, 2, 8], 5: [0, 3, 9]}"
2271,"{0: [7, 8], 1: [1, 2, 6], 2: [3, 10], 3: [9], 4: [4, 5]}","{0: [4, 5], 1: [0, 9], 2: [2, 3, 10], 3: [7], 4: [1, 6], 5: [8]}"
2272,"{0: [0, 10], 1: [6, 8], 2: [7], 3: [4, 9], 4: [3]}","{0: [2], 1: [0], 2: [4], 3: [9], 4: [10], 5: [1]}"
2273,"{0: [7], 1: [10], 2: [3, 5], 3: [6, 8], 4: [0, 9]}","{0: [2], 1: [7], 2: [0, 6, 10], 3: [9], 4: [8], 5: [1, 3, 4, 5]}"
2274,"{0: [7], 1: [9], 2: [6], 3: [0, 10], 4: [8]}","{0: [8], 1: [3], 2: [6], 3: [4, 10], 4: [0, 1, 7, 9], 5: [2, 5]}"
2275,"{0: [2, 10], 1: [4], 2: [6], 3: [9], 4: [0, 1, 3, 5, 7, 8]}","{0: [3], 1: [2], 2: [0], 3: [9], 4: [10], 5: [1]}"
2276,"{0: [2, 6], 1: [5, 9, 10], 2: [0, 1, 3], 3: [8], 4: [7]}","{0: [0, 10], 1: [2, 6, 8], 2: [3, 4, 7], 3: [5], 4: [1], 5: [9]}"
2277,"{0: [8], 1: [2, 9], 2: [6], 3: [3, 10], 4: [7]}","{0: [2], 1: [0], 2: [3], 3: [10], 4: [1], 5: [9]}"
2278,"{0: [0, 5, 6, 7, 8], 1: [4], 2: [3], 3: [9], 4: [2, 10]}","{0: [6], 1: [9], 2: [0, 10], 3: [8], 4: [1], 5: [4]}"
2279,"{0: [1, 6], 1: [4, 5, 8], 2: [2, 7], 3: [3, 9], 4: [10]}","{0: [9], 1: [0, 10], 2: [2, 6, 7], 3: [1], 4: [3], 5: [8]}"
2280,"{0: [5], 1: [2, 8], 2: [3, 7, 10], 3: [0, 1, 9], 4: [4]}","{0: [6], 1: [4, 9], 2: [0], 3: [8], 4: [7, 10], 5: [1]}"
2281,"{0: [5, 6, 7], 1: [9], 2: [4], 3: [10], 4: [3]}","{0: [3, 4, 6], 1: [7], 2: [0], 3: [1], 4: [8], 5: [2, 10]}"
2282,"{0: [9], 1: [5], 2: [1, 6], 3: [2, 7, 8], 4: [0, 10]}","{0: [2, 7], 1: [0, 1, 6], 2: [3, 9], 3: [8], 4: [10], 5: [5]}"
2283,"{0: [1, 4, 9], 1: [8], 2: [3], 3: [2, 10], 4: [7]}","{0: [10], 1: [9], 2: [5, 7, 8], 3: [6], 4: [4], 5: [3]}"
2284,"{0: [6], 1: [2, 5, 10], 2: [0, 1, 7, 9], 3: [3, 4], 4: [8]}","{0: [6], 1: [4], 2: [5, 7, 10], 3: [8], 4: [9], 5: [3]}"
2285,"{0: [8], 1: [7], 2: [3, 5, 9], 3: [1, 4, 6, 10], 4: [2]}","{0: [9], 1: [7, 8], 2: [10], 3: [6], 4: [2], 5: [5]}"
2286,"{0: [3, 6], 1: [0, 1, 4, 5], 2: [2, 9, 10], 3: [7], 4: [8]}","{0: [4], 1: [2], 2: [0, 6, 10], 3: [5], 4: [9], 5: [3, 8]}"
2287,"{0: [2, 3, 7, 8], 1: [5], 2: [0, 10], 3: [1, 6], 4: [9]}","{0: [2], 1: [4], 2: [5], 3: [6, 8, 10], 4: [7], 5: [3, 9]}"
2288,"{0: [10], 1: [3], 2: [9], 3: [7], 4: [1, 4, 5, 6]}","{0: [9], 1: [0, 10], 2: [7], 3: [3], 4: [1, 4], 5: [6, 8]}"
2289,"{0: [2, 9], 1: [5], 2: [8], 3: [4], 4: [0, 6, 7, 10]}","{0: [3, 7], 1: [10], 2: [0, 5, 8, 9], 3: [2], 4: [6], 5: [1, 4]}"
2290,"{0: [6], 1: [1, 4], 2: [0, 3, 10], 3: [5], 4: [2, 7, 8]}","{0: [3], 1: [2], 2: [0, 10], 3: [5, 7], 4: [4, 6, 8], 5: [9]}"
2291,"{0: [3, 5, 7, 9], 1: [0, 8], 2: [2], 3: [10], 4: [1, 6]}","{0: [6, 7], 1: [2], 2: [4], 3: [0, 1, 8], 4: [10], 5: [3, 5, 9]}"
2292,"{0: [1, 6, 10], 1: [9], 2: [4], 3: [3, 5], 4: [2, 7, 8]}","{0: [6], 1: [2, 4, 5, 7, 9], 2: [0], 3: [10], 4: [1], 5: [8]}"
2293,"{0: [3, 8, 9], 1: [1], 2: [6], 3: [0, 10], 4: [4, 5, 7]}","{0: [6, 7], 1: [2, 4, 5], 2: [0], 3: [8], 4: [10], 5: [1]}"
2294,"{0: [2, 4, 5], 1: [0, 1], 2: [6], 3: [9, 10], 4: [7, 8]}","{0: [2, 3, 5, 7], 1: [0, 1], 2: [6], 3: [9], 4: [10], 5: [4]}"
2295,"{0: [0, 1], 1: [3, 8], 2: [10], 3: [9], 4: [2, 6, 7]}","{0: [5], 1: [0, 2, 8], 2: [1, 6, 9, 10], 3: [4], 4: [7], 5: [3]}"
2296,"{0: [3, 7, 10], 1: [9], 2: [2], 3: [5, 8], 4: [6]}","{0: [4], 1: [0], 2: [5], 3: [8], 4: [10], 5: [1]}"
2297,"{0: [2, 5, 6], 1: [3, 10], 2: [9], 3: [8], 4: [7]}","{0: [3], 1: [4], 2: [6], 3: [8, 9], 4: [5, 10], 5: [7]}"
2298,"{0: [4], 1: [1, 5], 2: [3, 8, 9], 3: [6, 7], 4: [0, 10]}","{0: [0], 1: [4], 2: [2], 3: [6, 10], 4: [1, 3, 5, 9], 5: [8]}"
2299,"{0: [2, 3, 10], 1: [4], 2: [1, 5, 7], 3: [8], 4: [6, 9]}","{0: [4], 1: [0], 2: [5], 3: [8], 4: [10], 5: [1]}"
2300,"{0: [1, 5], 1: [4], 2: [9], 3: [7, 8, 10], 4: [3, 6]}","{0: [0, 1, 7], 1: [8], 2: [3], 3: [2], 4: [5, 6, 10], 5: [4]}"
2301,"{0: [0, 8], 1: [2], 2: [3, 4, 7, 9], 3: [6], 4: [10]}","{0: [3, 7], 1: [9], 2: [0], 3: [10], 4: [4, 8], 5: [1]}"
2302,"{0: [7], 1: [2, 6], 2: [3, 5], 3: [10], 4: [8, 9]}","{0: [9], 1: [3, 5], 2: [0, 2, 7, 10], 3: [8], 4: [4, 6], 5: [1]}"
2303,"{0: [7], 1: [5], 2: [10], 3: [4, 8], 4: [3, 9]}","{0: [4], 1: [0, 1], 2: [3, 9], 3: [8], 4: [10], 5: [7]}"
2304,"{0: [10], 1: [7], 2: [4], 3: [2, 9], 4: [5, 8]}","{0: [0], 1: [7], 2: [3], 3: [10], 4: [1], 5: [8]}"
2305,"{0: [0, 1], 1: [8], 2: [7], 3: [2, 3, 6], 4: [5, 9, 10]}","{0: [7], 1: [0], 2: [3], 3: [8], 4: [1], 5: [10]}"
2306,"{0: [0, 8], 1: [10], 2: [4], 3: [1, 3], 4: [5, 7, 9]}","{0: [6], 1: [0, 10], 2: [5], 3: [8], 4: [9], 5: [7]}"
2307,"{0: [10], 1: [2, 4, 7], 2: [5, 8, 9], 3: [0, 1], 4: [3]}","{0: [6], 1: [2], 2: [9], 3: [8], 4: [3, 4], 5: [5, 10]}"
2308,"{0: [0, 8], 1: [1, 2, 6], 2: [5, 9], 3: [7, 10], 4: [3]}","{0: [5, 9], 1: [2, 10], 2: [0, 8], 3: [3], 4: [1, 6], 5: [4]}"
2309,"{0: [7], 1: [2], 2: [4, 10], 3: [6], 4: [1, 3, 5, 8, 9]}","{0: [3], 1: [0], 2: [9], 3: [8], 4: [10], 5: [1, 6]}"
2310,"{0: [1, 6, 7], 1: [0, 10], 2: [3], 3: [2, 4, 9], 4: [8]}","{0: [5, 6], 1: [0], 2: [3], 3: [8], 4: [1], 5: [10]}"
2311,"{0: [4], 1: [8], 2: [0, 5, 10], 3: [6, 7], 4: [9]}","{0: [2, 3], 1: [9], 2: [6], 3: [4, 8], 4: [0, 1, 7, 10], 5: [5]}"
2312,"{0: [0, 1], 1: [7, 10], 2: [3], 3: [8], 4: [4, 6, 9]}","{0: [3, 4, 6, 9], 1: [0, 10], 2: [7], 3: [2], 4: [5], 5: [8]}"
2313,"{0: [10], 1: [0, 8], 2: [1, 2, 6, 9], 3: [3, 5], 4: [7]}","{0: [5], 1: [8], 2: [0, 1, 2], 3: [7], 4: [4, 9], 5: [3, 6]}"
2314,"{0: [5, 9], 1: [10], 2: [0, 4, 8], 3: [7], 4: [6]}","{0: [3], 1: [7], 2: [4, 5], 3: [9], 4: [1, 2], 5: [6, 8, 10]}"
2315,"{0: [3], 1: [5, 10], 2: [2, 9], 3: [6], 4: [7]}","{0: [1, 6], 1: [8], 2: [10], 3: [2], 4: [4, 5], 5: [7, 9]}"
2316,"{0: [1, 3, 5, 6, 8], 1: [7], 2: [10], 3: [2], 4: [9]}","{0: [9], 1: [3], 2: [0], 3: [8], 4: [1, 6], 5: [5, 10]}"
2317,"{0: [5, 7], 1: [9], 2: [0, 8], 3: [3, 6, 10], 4: [1, 2]}","{0: [6], 1: [0, 7, 10], 2: [5], 3: [3, 8], 4: [9], 5: [1, 2]}"
2318,"{0: [4], 1: [7], 2: [9], 3: [6, 10], 4: [2, 3, 8]}","{0: [6], 1: [9], 2: [0], 3: [1, 2, 4, 7], 4: [10], 5: [5, 8]}"
2319,"{0: [5, 6], 1: [4, 8], 2: [3, 10], 3: [7], 4: [9]}","{0: [6], 1: [2, 4, 7, 8], 2: [0, 10], 3: [1, 5], 4: [9], 5: [3]}"
2320,"{0: [3, 5], 1: [6], 2: [8], 3: [0, 4, 10], 4: [1, 2, 7, 9]}","{0: [2, 9], 1: [5, 6], 2: [0, 3, 8], 3: [10], 4: [1], 5: [7]}"
2321,"{0: [0, 5, 6, 7, 8], 1: [4], 2: [1, 2, 9], 3: [3], 4: [10]}","{0: [5], 1: [3, 8, 9], 2: [0, 1], 3: [6, 10], 4: [2], 5: [4, 7]}"
2322,"{0: [4, 7], 1: [10], 2: [5], 3: [2, 8], 4: [3, 9]}","{0: [6], 1: [0, 1], 2: [3], 3: [5, 8, 10], 4: [9], 5: [7]}"
2323,"{0: [9], 1: [2, 5, 8], 2: [3, 10], 3: [0, 1], 4: [7]}","{0: [9], 1: [2, 5, 6], 2: [1], 3: [10], 4: [7], 5: [0, 4, 8]}"
2324,"{0: [2, 8], 1: [6], 2: [0, 1, 4, 5, 10], 3: [3, 9], 4: [7]}","{0: [7], 1: [0], 2: [5, 10], 3: [1], 4: [6, 8], 5: [9]}"
2325,"{0: [4], 1: [2, 3, 6], 2: [9], 3: [5, 7, 8], 4: [10]}","{0: [10], 1: [2], 2: [4, 8], 3: [6], 4: [3], 5: [5]}"
2326,"{0: [8], 1: [7], 2: [2], 3: [10], 4: [4, 5, 6]}","{0: [2], 1: [4], 2: [9], 3: [3, 6], 4: [7], 5: [1, 8, 10]}"
2327,"{0: [2, 6, 9], 1: [5], 2: [10], 3: [8], 4: [3]}","{0: [2, 5, 8], 1: [9], 2: [4], 3: [10], 4: [1, 7], 5: [6]}"
2328,"{0: [9], 1: [4, 5], 2: [10], 3: [3, 6, 8], 4: [0, 1, 7]}","{0: [6], 1: [0], 2: [7], 3: [5, 9, 10], 4: [1], 5: [8]}"
2329,"{0: [10], 1: [2, 8], 2: [9], 3: [3], 4: [1, 4, 6, 7]}","{0: [10], 1: [2], 2: [0, 1, 5, 6], 3: [9], 4: [7, 8], 5: [3]}"
2330,"{0: [1, 6], 1: [0, 8], 2: [9], 3: [3, 4, 10], 4: [7]}","{0: [7], 1: [0], 2: [4], 3: [8], 4: [5, 9, 10], 5: [1, 6]}"
2331,"{0: [2, 8], 1: [10], 2: [1, 4, 5, 6], 3: [3, 7], 4: [9]}","{0: [1, 6], 1: [2], 2: [3, 4, 5, 10], 3: [0, 8], 4: [7], 5: [9]}"
2332,"{0: [9], 1: [1, 2, 7, 10], 2: [3], 3: [4, 5], 4: [6, 8]}","{0: [5], 1: [3, 6, 7, 8], 2: [10], 3: [9], 4: [4], 5: [2]}"
2333,"{0: [7, 8], 1: [2], 2: [0, 1, 10], 3: [9], 4: [4]}","{0: [3], 1: [2], 2: [6], 3: [9], 4: [10], 5: [8]}"
2334,"{0: [0, 2, 8], 1: [6, 7], 2: [9], 3: [10], 4: [4]}","{0: [6], 1: [0], 2: [5], 3: [1, 10], 4: [4, 8], 5: [9]}"
2335,"{0: [2, 6, 7], 1: [1, 5], 2: [3], 3: [0, 8], 4: [4, 9, 10]}","{0: [10], 1: [2, 7], 2: [0], 3: [9], 4: [8], 5: [1, 5]}"
2336,"{0: [10], 1: [2, 4], 2: [3, 7], 3: [8], 4: [6, 9]}","{0: [8], 1: [3, 7, 9], 2: [4, 10], 3: [6], 4: [1, 5], 5: [2]}"
2337,"{0: [7], 1: [10], 2: [0, 5, 6, 8], 3: [3], 4: [2, 4, 9]}","{0: [5], 1: [10], 2: [0], 3: [6, 8], 4: [3, 9], 5: [1]}"
2338,"{0: [0, 8], 1: [4, 9], 2: [3], 3: [2, 5], 4: [6, 7, 10]}","{0: [0], 1: [4, 6, 7], 2: [10], 3: [9], 4: [1, 5], 5: [8]}"
2339,"{0: [4], 1: [3, 5], 2: [0, 1, 6], 3: [8, 10], 4: [2, 7, 9]}","{0: [7], 1: [2, 4, 6], 2: [3], 3: [8], 4: [10], 5: [5]}"
2340,"{0: [0, 8, 10], 1: [2, 9], 2: [1, 5], 3: [4, 7], 4: [6]}","{0: [2, 3, 8], 1: [7], 2: [0, 1, 5], 3: [6], 4: [4], 5: [9]}"
2341,"{0: [3, 10], 1: [2, 6], 2: [0, 7, 8], 3: [9], 4: [4, 5]}","{0: [7], 1: [9, 10], 2: [0, 1], 3: [6], 4: [4, 5], 5: [8]}"
2342,"{0: [10], 1: [3, 7, 9], 2: [2], 3: [4, 5, 8], 4: [6]}","{0: [4], 1: [10], 2: [0], 3: [1], 4: [8], 5: [9]}"
2343,"{0: [2], 1: [5, 9, 10], 2: [7], 3: [4, 6], 4: [3, 8]}","{0: [7], 1: [6], 2: [3], 3: [9], 4: [10], 5: [8]}"
2344,"{0: [7], 1: [2], 2: [8], 3: [3, 9, 10], 4: [6]}","{0: [6], 1: [2], 2: [3, 10], 3: [0, 4, 5, 9], 4: [7], 5: [8]}"
2345,"{0: [0, 2, 9], 1: [3, 6], 2: [7, 8], 3: [5], 4: [4, 10]}","{0: [3], 1: [5], 2: [4], 3: [6], 4: [10], 5: [1, 7]}"
2346,"{0: [4, 10], 1: [2, 3], 2: [6], 3: [5, 8], 4: [9]}","{0: [0], 1: [5, 7], 2: [4, 10], 3: [2, 8], 4: [6, 9], 5: [1]}"
2347,"{0: [0, 2, 7, 8, 10], 1: [5], 2: [1, 4], 3: [3, 9], 4: [6]}","{0: [1, 4, 10], 1: [9], 2: [3, 8], 3: [0], 4: [5, 6], 5: [2]}"
2348,"{0: [2, 3, 7], 1: [4, 5], 2: [10], 3: [0, 6, 8], 4: [9]}","{0: [6], 1: [0, 1], 2: [5], 3: [2, 3, 8, 9], 4: [4, 7], 5: [10]}"
2349,"{0: [0, 9], 1: [8], 2: [6, 7], 3: [3, 5], 4: [10]}","{0: [3, 6, 10], 1: [2], 2: [0, 1], 3: [8], 4: [4], 5: [9]}"
2350,"{0: [6], 1: [3], 2: [5, 9], 3: [0, 1, 8], 4: [7, 10]}","{0: [2], 1: [3, 6, 7], 2: [5], 3: [4], 4: [9], 5: [10]}"
2351,"{0: [10], 1: [6], 2: [0, 2, 5, 7, 9], 3: [4], 4: [8]}","{0: [10], 1: [3], 2: [0], 3: [9], 4: [1], 5: [8]}"
2352,"{0: [5, 9], 1: [10], 2: [3, 6], 3: [4, 8], 4: [7]}","{0: [5], 1: [10], 2: [6], 3: [9], 4: [2], 5: [8]}"
2353,"{0: [0, 8], 1: [1, 7], 2: [6], 3: [9], 4: [3, 10]}","{0: [3], 1: [0, 4, 8], 2: [7], 3: [6], 4: [9], 5: [1]}"
2354,"{0: [10], 1: [6, 8], 2: [4], 3: [3, 5, 7], 4: [9]}","{0: [2, 6, 7], 1: [4], 2: [0, 8], 3: [10], 4: [9], 5: [1, 3, 5]}"
2355,"{0: [0, 9], 1: [2], 2: [3, 5, 10], 3: [6, 8], 4: [7]}","{0: [3], 1: [0], 2: [6], 3: [8], 4: [2, 7, 9], 5: [1]}"
2356,"{0: [5], 1: [8], 2: [0, 9], 3: [2, 7], 4: [10]}","{0: [4, 10], 1: [0, 1, 6], 2: [5, 7], 3: [3], 4: [9], 5: [8]}"
2357,"{0: [0, 5, 8, 9], 1: [3, 4, 10], 2: [6], 3: [7], 4: [1]}","{0: [3], 1: [5], 2: [6], 3: [9], 4: [10], 5: [1, 4, 7]}"
2358,"{0: [2, 4], 1: [6], 2: [1, 3, 5], 3: [0, 8, 9], 4: [7, 10]}","{0: [0, 8], 1: [2, 7], 2: [6], 3: [4], 4: [1, 5], 5: [9, 10]}"
2359,"{0: [3, 7], 1: [2, 4, 10], 2: [5, 6], 3: [8], 4: [0, 9]}","{0: [1, 3, 7], 1: [10], 2: [0, 5, 6, 9], 3: [2], 4: [4], 5: [8]}"
2360,"{0: [9], 1: [4, 8, 10], 2: [0, 1, 2], 3: [6], 4: [7]}","{0: [0, 1], 1: [7, 10], 2: [5], 3: [8], 4: [4, 6, 9], 5: [2]}"
2361,"{0: [2, 7, 10], 1: [0, 9], 2: [4, 6], 3: [1, 5], 4: [8]}","{0: [6], 1: [3], 2: [0, 8], 3: [10], 4: [5], 5: [1, 2, 7, 9]}"
2362,"{0: [1], 1: [0], 2: [3, 5, 9], 3: [10], 4: [4, 8]}","{0: [2], 1: [0], 2: [4], 3: [10], 4: [8], 5: [9]}"
2363,"{0: [6], 1: [5, 9], 2: [0, 1, 3, 8], 3: [2, 10], 4: [7]}","{0: [6, 9], 1: [3, 8], 2: [10], 3: [7], 4: [1], 5: [2, 4]}"
2364,"{0: [5], 1: [4], 2: [0, 7, 8, 10], 3: [9], 4: [6]}","{0: [5], 1: [4], 2: [7], 3: [6], 4: [3, 8, 9], 5: [10]}"
2365,"{0: [0, 1, 7, 9], 1: [4], 2: [3, 10], 3: [6, 8], 4: [5]}","{0: [2], 1: [4, 7], 2: [0, 9], 3: [5, 6], 4: [3], 5: [8, 10]}"
2366,"{0: [10], 1: [1], 2: [0], 3: [5, 7, 8], 4: [9]}","{0: [7], 1: [0], 2: [2, 6], 3: [10], 4: [8], 5: [1, 9]}"
2367,"{0: [6, 9], 1: [1], 2: [3, 8], 3: [0], 4: [2, 4, 10]}","{0: [3, 5, 6, 7, 9], 1: [8], 2: [2, 10], 3: [4], 4: [0], 5: [1]}"
2368,"{0: [6], 1: [3], 2: [0, 2, 8, 9], 3: [5], 4: [10]}","{0: [9], 1: [3], 2: [2, 4, 10], 3: [5], 4: [6], 5: [8]}"
2369,"{0: [1, 3, 8], 1: [5], 2: [2, 10], 3: [4], 4: [9]}","{0: [3], 1: [9], 2: [0, 10], 3: [8], 4: [4], 5: [5]}"
2370,"{0: [1, 6], 1: [7], 2: [10], 3: [5, 8, 9], 4: [3]}","{0: [3, 7], 1: [0, 9], 2: [2], 3: [5], 4: [10], 5: [8]}"
2371,"{0: [4], 1: [0, 1, 5, 8, 9], 2: [6], 3: [7], 4: [3, 10]}","{0: [3, 10], 1: [0, 1, 8], 2: [5], 3: [6, 7], 4: [9], 5: [2]}"
2372,"{0: [2, 7], 1: [6], 2: [5, 9, 10], 3: [3], 4: [8]}","{0: [4], 1: [9], 2: [0], 3: [1, 5], 4: [3, 6, 7, 8], 5: [10]}"
2373,"{0: [1, 10], 1: [4, 5], 2: [3, 9], 3: [7], 4: [0, 8]}","{0: [7], 1: [0, 2, 10], 2: [9], 3: [1, 5, 8], 4: [3], 5: [4, 6]}"
2374,"{0: [6, 8], 1: [5], 2: [0, 10], 3: [1, 4, 9], 4: [3]}","{0: [4, 10], 1: [7], 2: [0, 1], 3: [2, 9], 4: [8], 5: [5]}"
2375,"{0: [0, 3, 10], 1: [6], 2: [2, 5], 3: [7], 4: [1, 9]}","{0: [7], 1: [0, 5, 8, 9], 2: [3], 3: [10], 4: [4], 5: [6]}"
2376,"{0: [3], 1: [0, 1, 8], 2: [6], 3: [10], 4: [4, 7, 9]}","{0: [7], 1: [2], 2: [10], 3: [6], 4: [9], 5: [4]}"
2377,"{0: [5, 9], 1: [8], 2: [0, 3, 7], 3: [6], 4: [4, 10]}","{0: [1, 6, 8], 1: [10], 2: [7], 3: [4], 4: [2, 9], 5: [0]}"
2378,"{0: [0, 1, 6], 1: [2, 9, 10], 2: [7, 8], 3: [4, 5], 4: [3]}","{0: [5, 7, 9], 1: [6], 2: [0, 10], 3: [3], 4: [4], 5: [1]}"
2379,"{0: [8], 1: [1, 6], 2: [4], 3: [0, 10], 4: [2, 5, 7, 9]}","{0: [6], 1: [2], 2: [0], 3: [3, 4, 10], 4: [7], 5: [1, 9]}"
2380,"{0: [6], 1: [5, 8], 2: [0, 4, 10], 3: [1], 4: [2, 7, 9]}","{0: [0], 1: [4], 2: [3], 3: [6, 8, 10], 4: [7], 5: [1, 5, 9]}"
2381,"{0: [3], 1: [1, 8], 2: [0, 4, 7], 3: [5], 4: [9, 10]}","{0: [7], 1: [8], 2: [5, 10], 3: [1, 9], 4: [3], 5: [6]}"
2382,"{0: [2], 1: [10], 2: [6], 3: [1, 8, 9], 4: [0, 4, 5, 7]}","{0: [1, 5, 7], 1: [9], 2: [6], 3: [2], 4: [10], 5: [8]}"
2383,"{0: [6, 7], 1: [8], 2: [0, 10], 3: [2, 3, 4, 9], 4: [1, 5]}","{0: [8], 1: [0, 7], 2: [5], 3: [6], 4: [10], 5: [1]}"
2384,"{0: [10], 1: [8, 9], 2: [3], 3: [2, 4, 5, 7], 4: [6]}","{0: [2], 1: [3], 2: [4], 3: [8, 9], 4: [10], 5: [7]}"
2385,"{0: [3], 1: [2, 10], 2: [1, 5, 9], 3: [7], 4: [4, 8]}","{0: [2], 1: [0, 1, 3, 5, 8], 2: [4, 10], 3: [6], 4: [7], 5: [9]}"
2386,"{0: [1, 5, 8], 1: [4], 2: [7], 3: [2, 6], 4: [9, 10]}","{0: [4], 1: [6], 2: [8], 3: [2, 3, 9], 4: [7], 5: [10]}"
2387,"{0: [2, 4, 8], 1: [6], 2: [3, 9], 3: [7], 4: [0, 1, 10]}","{0: [2, 3, 7, 8], 1: [9], 2: [0, 1], 3: [10], 4: [6], 5: [5]}"
2388,"{0: [5], 1: [8, 10], 2: [2], 3: [6, 9], 4: [0, 7]}","{0: [2, 4, 7], 1: [6, 8], 2: [0, 10], 3: [1], 4: [9], 5: [5]}"
2389,"{0: [7, 9], 1: [1, 4, 5], 2: [6], 3: [3, 8, 10], 4: [2]}","{0: [4, 10], 1: [0, 2, 5, 7], 2: [6], 3: [9], 4: [1], 5: [8]}"
2390,"{0: [2, 5], 1: [6, 8], 2: [0, 7], 3: [10], 4: [1, 3]}","{0: [6, 8], 1: [5], 2: [0, 1], 3: [10], 4: [4, 7, 9], 5: [2, 3]}"
2391,"{0: [6], 1: [1, 5, 8], 2: [9], 3: [3], 4: [2, 10]}","{0: [6], 1: [9], 2: [0, 4, 10], 3: [3], 4: [7], 5: [2]}"
2392,"{0: [7], 1: [5, 9], 2: [3, 4, 6, 10], 3: [2], 4: [0, 1, 8]}","{0: [10], 1: [0, 4, 7], 2: [5, 9], 3: [8], 4: [1, 3], 5: [2, 6]}"
2393,"{0: [1, 6, 8], 1: [0, 4, 10], 2: [3], 3: [9], 4: [2, 7]}","{0: [7], 1: [4], 2: [10], 3: [6, 8], 4: [3, 9], 5: [5]}"
2394,"{0: [5], 1: [3, 4, 8], 2: [2, 9], 3: [6, 10], 4: [7]}","{0: [5], 1: [8], 2: [0, 1], 3: [3, 9], 4: [4, 7], 5: [2, 6, 10]}"
2395,"{0: [1, 3, 5, 7], 1: [4], 2: [0, 8, 10], 3: [6], 4: [2, 9]}","{0: [5], 1: [6], 2: [9], 3: [8, 10], 4: [2, 7], 5: [4]}"
2396,"{0: [6, 10], 1: [5], 2: [0, 1], 3: [2, 7], 4: [3, 4, 8, 9]}","{0: [5, 6], 1: [0, 10], 2: [7], 3: [9], 4: [2], 5: [8]}"
2397,"{0: [6, 7, 9], 1: [0, 10], 2: [1, 2, 3, 5], 3: [8], 4: [4]}","{0: [9], 1: [5, 8, 10], 2: [7], 3: [2], 4: [0, 1, 3], 5: [6]}"
2398,"{0: [1, 3, 4, 6], 1: [7], 2: [5, 9], 3: [2, 10], 4: [8]}","{0: [10], 1: [1, 4], 2: [0, 7, 8, 9], 3: [3], 4: [6], 5: [5]}"
2399,"{0: [7], 1: [2], 2: [0, 10], 3: [8], 4: [3, 5, 6, 9]}","{0: [3], 1: [9], 2: [0], 3: [7, 8], 4: [10], 5: [1, 4]}"
2400,"{0: [5], 1: [3, 8], 2: [0, 1, 4, 6], 3: [9, 10], 4: [2, 7]}","{0: [2, 5, 7], 1: [1, 4], 2: [8, 9], 3: [10], 4: [3], 5: [6]}"
2401,"{0: [6, 9], 1: [2], 2: [0, 3, 5, 10], 3: [1, 4, 7], 4: [8]}","{0: [9], 1: [4], 2: [3], 3: [2, 7, 10], 4: [5, 6], 5: [8]}"
2402,"{0: [6, 9], 1: [1, 4], 2: [2, 8], 3: [3], 4: [5, 10]}","{0: [7], 1: [10], 2: [2], 3: [6, 8, 9], 4: [5], 5: [0, 1, 3]}"
2403,"{0: [4], 1: [3, 8], 2: [2, 7], 3: [9], 4: [5, 10]}","{0: [2], 1: [5, 8], 2: [0], 3: [7, 9], 4: [10], 5: [1]}"
2404,"{0: [6], 1: [7], 2: [0, 1, 2, 4, 5, 8], 3: [9], 4: [3, 10]}","{0: [3, 4, 10], 1: [6], 2: [8], 3: [5, 9], 4: [7], 5: [1, 2]}"
